x,y,score1,score2
0,0,0.8825,0.52
0,10,0.59125,0.65875
0,20,0.70125,3.1025
0,30,1.3325,6.08125
0,40,0.82875,0.985
0,50,0.76,3.42125
0,60,1.1,4.6275
0,70,0.8675,3.9775
0,80,0.61125,0.885
0,90,0.58375,0.66375
0,100,0.6025,0.87125
0,110,0.67375,0.61375
0,120,0.58875,0.54
0,130,0.6775,0.75875
0,140,0.67875,0.53125
0,150,0.5275,0.49375
0,160,0.57375,0.56125
0,170,0.53875,0.59375
0,180,0.5925,0.5275
0,190,0.55125,0.48625
0,200,0.74125,0.62625
0,210,0.61625,0.53
0,220,0.515,0.52875
0,230,0.51,0.58125
0,240,0.65875,0.5775
0,250,0.615,0.6025
0,260,0.6675,0.54875
0,270,0.66,0.79375
0,280,0.815,0.71
0,290,0.4825,0.46625
0,300,0.6075,0.56
0,310,0.47625,0.54625
0,320,0.6475,0.66625
0,330,0.55125,0.595
0,340,0.62625,0.595
0,350,0.675,0.58375
0,360,0.575,0.55125
0,370,0.41875,0.575
0,380,0.54125,0.67
0,390,0.5675,0.52375
0,400,0.6,0.6
0,410,0.58,0.63125
0,420,0.65625,0.51375
0,430,0.5225,0.5175
0,440,0.5875,0.54375
0,450,0.59375,0.57125
0,460,0.61375,0.62
0,470,0.60625,0.66875
0,480,0.6475,0.58125
0,490,0.545,0.55875
0,500,0.49875,0.5025
0,510,0.50875,0.43
0,520,0.49,0.56125
0,530,0.6925,0.6375
0,540,0.6975,0.6
0,550,0.575,0.625
0,560,0.57875,0.59125
0,570,0.58375,0.64125
0,580,0.72375,0.7075
0,590,0.5675,0.6625
0,600,0.695,0.635
0,610,0.6375,0.70125
0,620,0.65125,0.73
0,630,0.535,0.62
0,640,0.63,0.75
0,650,0.5575,0.705
0,660,0.605,0.69
0,670,0.7175,0.80375
0,680,0.695,0.63125
0,690,0.57125,0.635
0,700,0.54375,0.56875
10,0,0.81875,0.63125
10,10,0.6275,0.70625
10,20,0.58375,2.12875
10,30,0.9675,6.94
10,40,1.02,1.24625
10,50,0.83,3.26125
10,60,1.1825,4.8625
10,70,0.85875,4.09625
10,80,0.80125,0.8375
10,90,0.75,0.7325
10,100,0.6425,0.8025
10,110,0.675,0.72125
10,120,0.55,0.59625
10,130,0.56,0.665
10,140,0.69375,0.605
10,150,0.5975,0.685
10,160,0.6675,0.56375
10,170,0.60125,0.59
10,180,0.58,0.51875
10,190,0.43375,0.65875
10,200,0.72375,0.69875
10,210,0.62375,0.51125
10,220,0.46875,0.50875
10,230,0.57375,0.5825
10,240,0.6575,0.60125
10,250,0.73375,0.6025
10,260,0.50125,0.55875
10,270,0.73125,0.68125
10,280,0.64875,0.795
10,290,0.5725,0.52625
10,300,0.52125,0.51375
10,310,0.5725,0.525
10,320,0.645,0.51
10,330,0.525,0.6075
10,340,0.6125,0.65375
10,350,0.62125,0.71375
10,360,0.6725,0.515
10,370,0.40375,0.44
10,380,0.47625,0.51875
10,390,0.6,0.57625
10,400,0.6,0.6425
10,410,0.67125,0.645
10,420,0.52125,0.565
10,430,0.58625,0.495
10,440,0.47625,0.61
10,450,0.675,0.58125
10,460,0.6325,0.6075
10,470,0.575,0.5675
10,480,0.53375,0.52125
10,490,0.495,0.53
10,500,0.58,0.57
10,510,0.56375,0.58125
10,520,0.5175,0.47125
10,530,0.5275,0.6575
10,540,0.54,0.5325
10,550,0.50875,0.57375
10,560,0.6325,0.57125
10,570,0.62125,0.57375
10,580,0.67125,0.58625
10,590,0.6775,0.555
10,600,0.63875,0.655
10,610,0.62125,0.6475
10,620,0.7025,0.64875
10,630,0.485,0.6975
10,640,0.55875,0.68
10,650,0.6625,0.5875
10,660,0.61,0.6975
10,670,0.58,0.71375
10,680,0.6075,0.6875
10,690,0.5675,0.655
10,700,0.705,0.6925
20,0,0.60125,0.6575
20,10,0.52375,0.625
20,20,0.56125,2.045
20,30,0.98375,7.38
20,40,1.24,1.21125
20,50,0.82,2.94375
20,60,1.2475,4.91375
20,70,0.90375,4.86625
20,80,0.66125,0.94375
20,90,0.55875,0.775
20,100,0.69875,0.6525
20,110,0.67125,0.62625
20,120,0.55,0.56875
20,130,0.63625,0.56125
20,140,0.54125,0.60625
20,150,0.63375,0.655
20,160,0.64375,0.5525
20,170,0.64125,0.64625
20,180,0.62,0.5975
20,190,0.49125,0.47625
20,200,0.5425,0.47625
20,210,0.685,0.45625
20,220,0.5675,0.49375
20,230,0.52375,0.48375
20,240,0.465,0.6475
20,250,0.64875,0.6275
20,260,0.60625,0.72125
20,270,0.69125,0.68625
20,280,0.5325,0.58625
20,290,0.59,0.585
20,300,0.5525,0.625
20,310,0.6225,0.6275
20,320,0.675,0.57
20,330,0.56875,0.5225
20,340,0.61375,0.585
20,350,0.49625,0.51
20,360,0.54375,0.45625
20,370,0.48875,0.425
20,380,0.57125,0.455
20,390,0.4975,0.51375
20,400,0.52125,0.46375
20,410,0.57125,0.52
20,420,0.43875,0.695
20,430,0.7525,0.6025
20,440,0.57125,0.57125
20,450,0.61125,0.58375
20,460,0.49,0.59
20,470,0.51125,0.58375
20,480,0.5,0.565
20,490,0.45875,0.485
20,500,0.47625,0.48625
20,510,0.515,0.5175
20,520,0.57875,0.51875
20,530,0.5,0.465
20,540,0.59,0.53875
20,550,0.44,0.6475
20,560,0.61625,0.505
20,570,0.63375,0.55125
20,580,0.6225,0.74
20,590,0.64375,0.71125
20,600,0.64625,0.7525
20,610,0.48125,0.54875
20,620,0.58,0.73125
20,630,0.6425,0.47375
20,640,0.50375,0.67625
20,650,0.61875,0.675
20,660,0.60375,0.6125
20,670,0.52375,0.54125
20,680,0.56,0.665
20,690,0.6225,0.5925
20,700,0.7975,0.9425
30,0,0.6675,0.51
30,10,0.54375,0.625
30,20,0.70625,1.715
30,30,0.94625,7.64375
30,40,1.22625,1.18375
30,50,0.73,2.43875
30,60,0.99,5.4825
30,70,0.8775,4.95375
30,80,0.695,0.76625
30,90,0.555,0.7925
30,100,0.605,0.6725
30,110,0.605,0.61
30,120,0.4175,0.5825
30,130,0.53125,0.58625
